length_chars,length_tokens,num_distinct_tokens,num_capital_chars,num_capital_tokens,num_free,num_digits,label
28,7,7,1,0,0,0,0
31,5,5,1,0,0,0,0
42,8,8,2,0,0,0,0
76,15,15,3,0,0,0,0
22,5,5,1,0,0,0,0
54,10,10,2,0,0,0,0
160,41,35,4,0,0,2,0
131,28,25,95,25,0,2,0
54,12,12,2,0,0,0,0
40,7,7,1,0,0,0,0
35,9,9,1,0,0,0,0
150,33,29,5,1,0,0,0
60,11,11,1,0,0,0,0
32,6,6,1,0,0,0,0
29,6,6,1,0,0,0,0
7,1,1,1,0,0,0,0
139,26,25,4,1,0,22,1
54,12,12,1,0,0,0,0
46,9,9,2,0,0,0,0
24,5,5,2,0,0,0,0
40,9,9,3,0,0,0,0
126,21,21,4,0,0,0,0
33,6,6,2,0,0,0,0
147,28,26,3,0,0,0,0
155,27,26,7,0,0,16,1
21,4,4,1,0,0,0,0
59,12,12,1,0,0,0,0
77,18,17,3,0,0,0,0
37,6,6,1,0,0,0,0
58,12,11,2,0,0,0,0
58,11,11,2,0,0,0,0
44,10,10,1,0,0,0,0
588,119,82,53,4,0,2,0
23,5,5,3,0,0,0,0
47,11,11,2,0,0,1,0
45,9,9,1,0,0,0,0
150,30,29,4,0,0,0,0
31,7,7,1,0,0,0,0
57,9,9,1,0,0,0,0
142,28,27,3,0,0,0,0
2,1,1,1,0,0,0,0
106,19,17,6,0,0,11,1
25,5,5,1,0,0,0,0
113,25,21,3,0,0,0,0
36,8,7,2,0,0,0,0
111,19,15,4,0,0,0,0
102,20,20,4,0,0,0,0
133,29,26,2,0,0,0,0
150,28,24,11,2,1,18,1
40,7,7,1,0,0,0,0
157,27,26,4,0,0,17,1
22,6,6,1,0,0,1,0
139,30,28,14,3,3,7,1
40,8,7,1,0,0,0,0
52,12,12,3,0,0,0,0
444,83,66,44,1,0,11,0
68,13,11,3,0,0,0,0
52,11,11,2,0,0,1,0
105,18,18,2,0,0,0,0
64,11,11,1,0,0,0,0
77,19,18,3,0,0,0,0
99,22,17,5,1,0,0,0
75,16,16,3,0,0,0,0
33,7,7,1,0,0,0,0
156,25,25,26,2,0,3,0
22,5,5,1,0,0,0,0
77,18,17,2,0,0,0,0
66,15,14,2,0,0,0,0
36,7,7,1,0,0,0,0
160,23,21,13,1,1,18,1
124,26,23,2,0,0,0,0
39,10,10,1,0,0,0,0
134,27,25,2,0,0,0,0
24,5,5,1,0,0,0,0
27,5,5,1,0,0,0,0
73,15,14,2,0,0,0,0
130,30,28,5,1,0,2,0
27,6,6,1,0,0,0,0
137,30,26,15,3,1,2,1
35,8,8,1,0,0,0,0
106,16,15,7,0,0,13,1
44,10,10,1,0,0,1,0
89,17,13,2,0,0,0,0
82,17,13,2,0,0,2,0
141,25,24,3,0,0,0,1
36,8,7,1,0,0,0,0
93,20,20,3,0,0,1,0
59,13,13,2,0,0,0,0
65,13,12,1,0,0,0,0
95,22,17,3,0,0,0,0
27,7,7,2,0,0,0,0
113,22,20,5,0,0,0,0
32,7,7,1,0,0,0,0
38,6,6,1,0,0,0,0
