length_chars,length_tokens,num_distinct_tokens,num_capital_chars,num_capital_tokens,num_free,num_digits,label
51,10,9,1,0,0,0,0
160,30,28,22,3,1,13,1
127,28,26,10,2,0,24,1
22,5,5,2,0,0,0,0
295,56,46,8,1,0,0,0
22,5,5,2,0,0,0,0
90,22,16,61,14,0,2,0
24,5,5,0,0,0,0,0
66,14,14,2,0,0,0,0
33,9,9,1,0,0,3,0
32,7,7,1,0,0,0,0
49,12,12,1,0,0,0,0
28,6,6,2,0,0,0,0
143,25,25,5,0,0,12,1
26,7,7,18,4,0,2,0
179,36,31,6,0,0,0,0
23,6,6,1,0,1,0,0
81,13,13,5,1,0,11,1
75,17,16,52,14,0,7,0
20,5,5,1,0,0,0,0
73,14,14,2,0,0,0,0
106,20,20,14,2,0,1,0
35,7,7,29,6,0,0,0
24,6,6,2,0,0,0,0
79,17,17,2,0,0,0,0
43,10,10,2,0,0,0,0
43,9,9,2,0,0,0,0
70,14,12,14,2,0,0,0
46,9,9,2,0,0,0,0
97,19,17,3,0,0,0,0
111,19,15,4,0,0,0,0
24,4,4,0,0,0,0,0
22,5,5,1,0,0,0,0
109,23,20,1,0,0,0,0
21,5,5,1,0,0,0,0
30,6,6,1,0,0,0,0
23,6,6,1,0,0,0,0
71,15,15,1,0,0,0,0
137,27,25,3,0,0,2,0
40,8,8,1,0,0,0,0
28,6,6,1,0,0,0,0
79,15,13,1,0,0,0,0
7,1,1,1,0,0,0,0
91,21,21,2,0,0,0,0
41,11,11,1,0,0,0,0
148,27,21,14,1,0,0,0
58,12,12,7,1,0,0,0
56,13,13,2,0,0,0,0
157,29,28,16,2,0,1,1
33,7,7,2,0,0,0,0
23,5,5,1,0,0,0,0
33,7,7,2,0,0,0,0
82,18,16,3,0,1,0,0
59,11,11,1,0,0,0,0
23,4,4,1,0,0,0,0
41,8,8,1,0,0,0,0
45,9,9,2,0,0,0,0
38,7,7,0,0,0,0,0
28,7,7,1,0,0,0,0
70,17,16,3,0,0,1,0
142,30,27,3,0,0,0,0
70,15,15,1,0,0,0,0
25,6,6,1,0,0,0,0
24,5,3,19,5,0,0,0
36,8,8,3,0,0,9,0
82,18,18,2,0,0,0,0
36,10,10,1,0,0,0,0
31,5,5,2,0,0,0,0
27,7,7,2,0,0,0,0
28,7,7,1,0,0,0,0
30,5,5,2,0,0,0,0
62,12,12,4,1,0,0,0
84,17,17,4,0,0,0,0
46,10,10,1,0,0,0,0
19,4,4,15,4,0,0,0
53,10,10,2,0,0,0,0
34,7,7,1,0,0,0,0
51,15,14,2,0,0,1,0
299,56,43,11,1,0,0,0
159,26,23,18,1,0,19,1
17,3,3,1,0,0,0,0
